activity_id,student_id,course_id,video_watched_min,quiz_score,assignment_score,timestamp
A013497,S037383,C046650,183,93,31,2024-08-17
A013498,S027149,C029288,138,6,72,2024-10-05
A013499,S001567,C013241,242,83,77,2024-11-27
A013500,S006669,C006250,239,65,28,2024-08-14
A013501,S037041,C030193,299,17,27,2024-08-25
A013502,S011785,C022996,18,91,19,2024-09-25
A013503,S030381,C026019,171,52,80,2024-07-19
A013504,S001614,C046075,156,30,92,2024-12-14
A013505,S026039,C043856,143,75,68,2024-11-05
A013506,S011533,C001275,157,13,33,2024-07-17
A013507,S005784,C030011,278,16,31,2024-02-17
A013508,S044322,C012591,211,48,22,2024-12-25
A013509,S012563,C034662,92,6,2,2024-12-06
A013510,S017500,C044266,117,61,12,2023-11-30
A013511,S009745,C040582,269,72,51,2024-05-05
A013512,S049186,C012085,240,83,72,2024-09-22
A013513,S005784,C030011,17,78,1,2024-01-30
A013514,S023660,C003398,63,56,38,2024-12-26
A013515,S038145,C028287,18,85,24,2024-12-26
A013516,S007182,C028820,226,53,54,2024-11-30
A013517,S012377,C033928,174,59,48,2024-05-30
A013518,S016474,C011214,259,85,63,2024-11-21
A013519,S001854,C001505,207,51,65,2024-12-13
A013520,S007591,C013568,125,69,12,2024-11-22
A013521,S016450,C038162,8,11,33,2024-12-25
A013522,S024456,C025416,88,33,26,2024-09-15
A013523,S026187,C043836,165,55,62,2024-12-28
A013524,S003636,C005346,294,97,14,2024-07-26
A013525,S035068,C026534,87,86,96,2024-12-05
A013526,S041555,C040411,215,40,85,2024-12-01
A013527,S048454,C043029,205,54,86,2024-11-17
A013528,S025401,C020382,241,40,10,2024-10-07
A013529,S006141,C036414,277,64,34,2024-11-10
A013530,S002311,C026591,135,46,13,2024-12-29
A013531,S027312,C032536,286,5,75,2024-08-26
A013532,S032908,C046175,41,45,84,2024-11-09
A013533,S030300,C021564,229,83,32,2024-11-04
A013534,S032186,C027081,133,68,31,2024-02-22
A013535,S001317,C046108,93,17,22,2024-12-30
A013536,S019681,C019195,157,84,40,2024-12-21
A013537,S012148,C029296,76,28,65,2024-12-24
A013538,S030909,C001950,6,13,57,2024-10-03
A013539,S047053,C030575,25,2,47,2024-11-06
A013540,S049435,C018962,37,7,14,2024-12-22
A013541,S001567,C013241,192,7,91,2024-04-22
A013542,S024958,C025708,79,38,56,2024-12-30
A013543,S032458,C028587,103,65,89,2024-12-22
A013544,S029721,C017073,187,68,61,2023-10-23
A013545,S049783,C002545,269,31,5,2024-12-11
A013546,S027712,C001908,199,76,33,2024-10-29
A013547,S019616,C030447,143,29,54,2024-12-21
A013548,S019462,C035633,146,69,2,2024-12-17
A013549,S018241,C002223,101,30,83,2024-10-31
A013550,S015745,C025293,123,17,64,2024-05-27
A013551,S034168,C032288,102,8,77,2024-12-30
A013552,S043296,C019889,89,88,62,2024-12-29
A013553,S001391,C033874,19,55,96,2024-12-25
A013554,S004490,C012002,92,46,71,2024-12-29
A013555,S019490,C027070,111,86,61,2024-11-26
A013556,S048832,C023579,199,27,48,2024-06-09
A013557,S036715,C022040,24,100,8,2024-12-30
A013558,S013310,C026401,185,18,43,2024-12-08
A013559,S022966,C030160,219,88,9,2024-12-28
A013560,S026558,C002102,20,75,59,2024-08-30
A013561,S045286,C028500,265,44,12,2024-12-21
A013562,S020965,C020744,30,54,81,2022-08-25
A013563,S036474,C039833,157,17,88,2024-12-09
A013564,S024363,C032311,238,0,26,2024-12-06
A013565,S039801,C024069,73,44,11,2024-12-26
A013566,S013681,C005682,207,91,28,2024-11-17
A013567,S021592,C018573,50,71,84,2024-12-19
A013568,S018928,C020644,62,55,39,2024-10-28
A013569,S029697,C039450,78,73,94,2024-12-29
A013570,S014926,C017075,183,56,74,2024-12-16
A013571,S024734,C023241,67,55,41,2024-12-09
A013572,S039916,C043223,182,67,23,2024-11-02
A013573,S032807,C023670,220,94,47,2024-03-22
A013574,S026864,C006668,67,69,36,2024-08-03
A013575,S038295,C013423,119,29,27,2024-10-31
A013576,S018558,C022397,227,70,40,2024-12-30
A013577,S009301,C027125,137,4,95,2024-02-12
A013578,S048056,C037757,52,95,42,2024-12-30
A013579,S046871,C037880,78,24,93,2024-03-21
A013580,S004127,C027777,200,56,15,2024-12-11
A013581,S033201,C016841,298,93,98,2024-12-23
A013582,S047241,C011979,162,40,6,2024-10-07
A013583,S007808,C015195,298,98,35,2024-10-20
A013584,S042682,C006404,72,51,59,2024-11-08
A013585,S008039,C001639,267,29,73,2024-12-12
A013586,S012355,C037004,249,84,81,2024-12-22
A013587,S013407,C012947,21,44,28,2024-11-03
A013588,S035920,C023692,50,46,71,2024-11-23
A013589,S031415,C024382,17,52,97,2024-12-21
A013590,S017424,C022940,71,12,45,2024-12-21
A013591,S006825,C020826,29,29,16,2024-12-30
A013592,S011084,C014151,29,47,84,2024-09-28
A013593,S041423,C039868,270,63,4,2024-12-29
A013594,S003613,C012002,76,65,85,2024-12-15
A013595,S018087,C033464,71,17,45,2024-11-14
A013596,S037914,C042201,28,67,48,2023-07-11
A013597,S011664,C041187,141,89,42,2024-04-01
A013598,S038513,C035969,229,3,64,2024-11-11
A013599,S018521,C002512,234,34,96,2024-10-26
A013600,S045557,C025518,225,85,70,2024-12-06
A013601,S034313,C023474,195,32,27,2024-09-22
A013602,S014409,C033570,186,5,68,2024-11-01
A013603,S009145,C043869,283,64,79,2024-12-18
A013604,S020444,C016595,217,37,51,2024-08-18
A013605,S014056,C014784,160,29,38,2024-12-28
A013606,S040777,C030873,118,33,57,2024-10-21
A013607,S014888,C037295,236,8,61,2024-11-09
A013608,S004074,C023517,217,37,18,2024-12-11
A013609,S000715,C005878,194,7,71,2024-11-14
A013610,S043320,C015627,95,41,39,2024-12-24
A013611,S042225,C019771,90,38,97,2024-12-25
A013612,S014353,C009544,241,58,66,2024-11-08
A013613,S010648,C018121,175,32,75,2024-12-22
A013614,S026804,C012254,218,63,47,2024-12-09
A013615,S017473,C023862,294,16,43,2024-09-25
A013616,S035297,C045805,46,85,28,2024-02-23
A013617,S021213,C000284,150,41,61,2024-11-14
A013618,S031920,C029189,31,79,87,2024-12-26
A013619,S029089,C001920,99,69,49,2024-11-29
A013620,S037502,C035649,123,56,32,2024-11-25
A013621,S019689,C028692,133,79,50,2024-11-19
A013622,S011527,C013448,88,36,86,2024-12-30
A013623,S036145,C012440,227,61,70,2024-12-21
A013624,S009693,C001136,110,57,20,2024-08-22
A013625,S029032,C014207,231,64,44,2024-11-05
A013626,S022415,C031998,129,85,47,2024-11-22
A013627,S042660,C014612,5,2,6,2024-11-18
A013628,S013594,C046780,157,72,57,2024-12-26
A013629,S027805,C006493,133,17,7,2024-03-06
A013630,S039095,C016131,49,65,93,2024-12-01
A013631,S004740,C004764,123,3,60,2024-12-16
A013632,S024634,C038742,52,56,33,2024-01-22
A013633,S013638,C003711,8,88,48,2024-12-19
A013634,S041513,C033298,17,42,30,2024-10-09
A013635,S032138,C041526,112,78,67,2024-09-29
A013636,S033434,C047255,136,75,46,2024-10-01
A013637,S029776,C010896,154,92,5,2024-05-19
A013638,S003739,C022704,184,92,91,2024-04-11
A013639,S038832,C038690,44,73,10,2024-12-29
A013640,S012673,C046872,182,90,53,2024-12-14
A013641,S024587,C002675,73,2,82,2024-12-25
A013642,S045689,C031548,158,1,18,2024-12-30
A013643,S018579,C029078,197,41,35,2023-11-24
A013644,S021893,C014790,3,56,28,2024-12-06
A013645,S020835,C030429,64,31,69,2024-10-13
A013646,S019913,C002907,268,57,59,2024-10-23
A013647,S001386,C004526,121,64,8,2024-12-29
A013648,S012775,C022692,46,19,87,2024-11-24
A013649,S003446,C047771,264,43,3,2024-09-12
A013650,S048427,C021536,272,69,92,2024-12-02
A013651,S044898,C028444,279,9,3,2024-10-02
A013652,S007451,C028177,136,80,18,2024-11-27
A013653,S046556,C010417,276,64,57,2024-01-24
A013654,S016390,C010266,203,20,35,2024-12-30
A013655,S035870,C032920,25,8,6,2024-11-01
A013656,S028942,C036029,82,91,47,2024-08-19
A013657,S039412,C034665,68,38,7,2024-12-30
A013658,S020746,C006750,39,44,1,2024-12-22
A013659,S024951,C040004,281,76,73,2024-08-10
A013660,S047842,C041500,104,51,42,2023-08-09
A013661,S039927,C038638,211,5,62,2024-08-15
A013662,S025613,C040723,54,72,34,2024-11-17
A013663,S001998,C009796,274,84,59,2024-11-21
A013664,S006010,C024225,65,87,1,2024-12-07
A013665,S012962,C049418,47,2,60,2024-12-17
A013666,S001460,C005868,171,68,70,2024-01-30
A013667,S003057,C046336,232,74,47,2024-12-24
A013668,S046109,C041510,217,95,69,2024-02-10
A013669,S015087,C048296,151,0,67,2024-11-06
A013670,S037590,C011777,19,76,36,2024-12-30
A013671,S049446,C037701,20,73,7,2024-10-17
A013672,S041177,C001864,179,28,46,2024-07-26
A013673,S002292,C035339,139,44,73,2024-11-14
A013674,S049276,C000861,168,40,50,2024-12-28
A013675,S022864,C011555,293,17,14,2024-12-17
A013676,S044232,C000562,222,85,10,2023-07-09
A013677,S030371,C046107,83,41,0,2024-12-26
A013678,S017732,C011635,14,12,8,2024-12-06
A013679,S006058,C019791,198,40,35,2024-12-19
A013680,S007522,C019182,154,1,53,2024-12-28
A013681,S022946,C002808,143,98,35,2024-07-06
A013682,S041669,C006780,296,23,83,2024-11-19
A013683,S040422,C040056,99,52,16,2024-11-13
A013684,S034753,C020139,260,85,14,2024-11-13
A013685,S017910,C048733,267,41,70,2024-12-24
A013686,S035065,C044776,242,82,44,2024-12-13
A013687,S029656,C041690,112,23,44,2024-12-20
A013688,S045785,C006688,196,90,13,2024-12-29
A013689,S031453,C045184,296,43,65,2024-10-29
A013690,S019381,C023307,203,17,2,2024-12-14
A013691,S013990,C035714,115,68,16,2024-11-02
A013692,S021385,C015643,193,49,28,2024-12-14
A013693,S035079,C044787,12,45,1,2024-12-17
A013694,S028550,C013628,244,80,48,2024-08-08
A013695,S033426,C026864,79,96,29,2024-12-16
A013696,S031825,C013158,253,83,85,2023-04-21
A013697,S029406,C012121,53,22,94,2024-11-19
A013698,S019303,C043697,55,26,74,2024-12-26
A013699,S018504,C013595,90,93,20,2024-11-30
A013700,S028067,C041755,136,68,88,2024-08-11
A013701,S021408,C046190,106,28,1,2024-12-03
A013702,S007043,C036085,263,74,43,2024-10-15
A013703,S038933,C026494,175,98,2,2024-11-18
A013704,S042724,C002680,118,63,87,2024-12-23
A013705,S033303,C044357,294,93,96,2024-10-05
A013706,S025786,C033011,5,83,98,2024-04-23
A013707,S036790,C023599,242,89,52,2024-08-09
A013708,S025330,C014803,210,21,70,2024-12-22
A013709,S006421,C040720,284,41,28,2024-12-15
A013710,S004815,C046783,14,74,20,2024-11-10
A013711,S030496,C046680,231,39,92,2024-05-03
A013712,S020784,C003602,42,11,42,2024-05-05
A013713,S039587,C038156,258,28,11,2024-11-25
A013714,S002738,C001868,3,89,88,2024-07-16
A013715,S018268,C041481,86,19,40,2024-12-30
A013716,S004861,C013411,190,80,63,2024-11-03
A013717,S030794,C001504,71,59,75,2023-09-16
A013718,S031853,C005338,58,100,93,2024-12-23
A013719,S015922,C048978,158,46,87,2024-11-24
A013720,S019380,C013702,293,94,51,2023-10-30
A013721,S010530,C018711,292,19,52,2024-12-14
A013722,S045662,C032919,104,58,79,2022-12-25
A013723,S006535,C010058,128,3,97,2024-10-09
A013724,S048528,C042151,184,34,19,2024-10-21
A013725,S008911,C018981,217,70,24,2024-12-08
A013726,S016226,C039340,283,40,23,2024-08-31
A013727,S030295,C001877,99,57,66,2024-11-26
A013728,S026893,C046712,186,13,74,2024-09-17
A013729,S003788,C031191,201,51,3,2024-12-27
A013730,S032818,C040839,222,90,38,2024-12-25
A013731,S038374,C011893,109,78,64,2024-12-27
A013732,S041346,C026750,177,3,53,2024-11-25
A013733,S030435,C010774,29,62,71,2024-06-26
A013734,S020559,C033572,77,88,60,2024-03-18
A013735,S038506,C011667,149,65,61,2024-11-01
A013736,S036883,C017642,275,56,78,2023-07-30
A013737,S043368,C007648,53,25,13,2024-12-10
A013738,S048613,C045605,180,33,1,2024-12-24
A013739,S023155,C015427,169,10,41,2024-12-12
A013740,S040031,C015799,6,92,78,2024-11-11
A013741,S010871,C040949,119,58,38,2024-12-26
A013742,S031765,C002922,206,56,9,2024-10-28
A013743,S006953,C014631,271,84,53,2024-12-22
A013744,S020126,C003221,168,9,27,2024-12-10
A013745,S039184,C000953,256,79,61,2024-12-20
A013746,S004890,C037467,10,5,34,2024-11-04
A013747,S046304,C049714,283,51,60,2024-12-28
A013748,S016895,C035467,291,80,96,2024-12-13
A013749,S000794,C041037,21,68,25,2024-12-08
A013750,S037298,C018025,121,98,78,2024-07-28
A013751,S047418,C035457,283,17,36,2024-12-11
A013752,S046114,C032091,155,76,41,2024-12-23
A013753,S048790,C014405,88,39,67,2024-12-24
A013754,S039642,C045131,279,40,91,2024-12-01
A013755,S026607,C040959,291,1,26,2024-12-28
A013756,S006882,C035180,157,58,55,2024-03-23
A013757,S049805,C023031,28,25,55,2024-01-17
A013758,S026117,C042604,135,81,24,2024-11-27
A013759,S013822,C030207,87,42,62,2024-02-21
A013760,S009466,C039258,147,48,43,2024-12-30
A013761,S046090,C016497,235,43,32,2024-05-25
A013762,S003574,C009414,258,36,1,2024-08-11
A013763,S044095,C027686,26,15,26,2024-10-13
A013764,S008658,C046665,60,49,12,2024-10-06
A013765,S010288,C016841,129,16,67,2023-04-02
A013766,S040172,C032100,298,27,52,2024-09-03
A013767,S027810,C037343,26,85,41,2024-12-05
A013768,S005324,C046667,107,61,38,2024-12-16
A013769,S024050,C040980,282,98,59,2024-12-20
A013770,S019960,C041037,134,92,54,2024-09-15
A013771,S034903,C030972,183,12,12,2024-12-19
A013772,S015882,C041727,36,94,28,2024-12-16
A013773,S004622,C033169,219,89,31,2024-12-29
A013774,S046857,C015499,234,95,87,2024-12-25
A013775,S032855,C003560,277,47,89,2024-10-28
A013776,S020103,C007259,157,43,5,2024-11-29
A013777,S030121,C047694,120,56,8,2024-12-12
A013778,S017696,C009428,56,31,27,2023-03-27
A013779,S026987,C030358,86,22,92,2024-12-12
A013780,S024540,C020880,203,19,6,2024-12-28
A013781,S042375,C031404,265,15,33,2024-11-04
A013782,S002230,C001914,295,71,10,2024-12-11
A013783,S008854,C010523,89,88,36,2024-06-27
A013784,S036379,C002374,296,16,39,2024-05-27
A013785,S001522,C035794,187,32,39,2024-07-18
A013786,S035119,C039871,42,64,86,2024-12-23
A013787,S031551,C014532,214,15,38,2024-10-08
A013788,S045145,C010447,255,59,42,2024-12-30
A013789,S007551,C024310,238,62,49,2024-07-14
A013790,S046751,C003329,188,81,90,2024-11-12
A013791,S048406,C019056,172,10,33,2024-12-28
A013792,S046495,C024705,255,68,77,2024-11-18
A013793,S043196,C033334,5,22,2,2024-10-12
A013794,S027392,C011116,147,21,21,2024-12-20
A013795,S006018,C020532,190,72,45,2024-11-19
A013796,S013594,C041148,263,76,43,2024-10-22
A013797,S033308,C017726,10,50,96,2023-05-09
A013798,S005289,C047403,70,61,80,2024-12-29
A013799,S021972,C027170,289,33,7,2024-03-17
A013800,S005653,C004805,35,48,31,2024-07-04
A013801,S038604,C022994,210,97,5,2023-12-18
A013802,S046541,C017747,70,47,32,2024-11-26
A013803,S012988,C027845,140,5,57,2024-12-19
A013804,S008391,C009258,54,7,92,2024-12-12
A013805,S039607,C044977,196,79,34,2024-11-23
A013806,S011739,C033041,64,82,100,2024-11-08
A013807,S014309,C021216,165,72,36,2024-05-26
A013808,S017703,C043324,164,30,41,2024-12-21
A013809,S027514,C002595,16,9,38,2024-10-08
A013810,S002436,C048681,199,79,46,2024-07-16
A013811,S030661,C023316,130,74,73,2024-01-13
A013812,S033999,C048024,178,52,98,2024-07-24
A013813,S009882,C037248,41,16,91,2024-11-05
A013814,S030542,C010559,214,75,74,2024-03-16
A013815,S008775,C019784,150,92,1,2024-11-29
A013816,S003296,C043880,101,51,13,2024-07-14
A013817,S026643,C034292,223,32,41,2024-08-05
A013818,S025713,C035027,141,86,4,2024-12-28
A013819,S018380,C048829,279,39,24,2024-08-31
A013820,S009249,C002897,162,4,5,2024-12-30
A013821,S019641,C003979,253,51,86,2024-08-04
A013822,S005169,C001297,22,67,51,2024-11-09
A013823,S045032,C045650,161,31,32,2024-11-26
A013824,S016338,C039412,245,81,2,2024-12-17
A013825,S030031,C015551,19,98,31,2024-09-09
A013826,S026326,C035204,196,37,4,2024-11-22
A013827,S030108,C000077,199,72,46,2024-12-30
A013828,S020915,C027926,193,1,24,2024-12-28
A013829,S042868,C045300,230,35,11,2024-04-16
A013830,S001966,C009655,297,57,72,2023-12-23
A013831,S007687,C033985,83,10,58,2023-07-21
A013832,S017365,C022937,142,21,37,2024-11-23
A013833,S046923,C047012,60,41,18,2024-10-13
A013834,S033509,C010377,96,30,45,2023-12-11
A013835,S022542,C039153,259,73,81,2024-09-23
A013836,S018180,C037014,239,0,3,2024-10-25
A013837,S022207,C012882,150,41,35,2024-10-30
A013838,S004979,C017293,197,91,32,2024-08-26
A013839,S041453,C020708,139,97,66,2024-11-06
A013840,S005985,C014468,176,49,78,2024-12-15
A013841,S017693,C025129,205,75,77,2024-12-22
A013842,S026008,C012850,11,100,1,2024-12-30
A013843,S023102,C048811,270,58,21,2024-06-02
A013844,S033768,C002882,107,59,10,2024-10-26
A013845,S043139,C025083,9,38,44,2024-06-21
A013846,S049332,C035930,255,59,43,2024-12-28
A013847,S024354,C004093,153,2,52,2024-05-28
A013848,S026095,C012114,198,7,69,2024-08-08
A013849,S031589,C024593,298,22,30,2024-12-03
A013850,S015657,C032025,43,29,55,2024-11-22
A013851,S017620,C039495,113,16,93,2024-12-16
A013852,S048134,C024963,6,1,40,2024-12-25
A013853,S036910,C035777,273,66,22,2024-12-29
A013854,S038365,C047067,121,65,44,2024-12-24
A013855,S013213,C033044,261,39,91,2024-12-29
A013856,S022468,C039182,244,77,12,2024-12-14
A013857,S045843,C033069,281,12,66,2024-03-26
A013858,S037991,C020242,31,8,70,2023-05-16
A013859,S012269,C042377,160,49,98,2024-05-17
A013860,S018271,C024334,275,25,68,2024-12-20
A013861,S011765,C037014,48,11,60,2024-12-14
A013862,S006236,C028256,234,8,69,2024-12-09
A013863,S041359,C045615,145,92,52,2024-12-25
A013864,S017876,C010504,190,25,36,2024-12-12
A013865,S032713,C028694,104,35,29,2024-05-28
A013866,S031843,C043308,146,53,25,2024-12-28
A013867,S049146,C023353,77,0,97,2024-12-08
A013868,S008754,C030946,30,94,61,2024-10-28
A013869,S004153,C002694,143,38,76,2024-11-29
A013870,S020988,C021582,154,99,89,2024-12-19
A013871,S039708,C032855,89,1,53,2024-12-30
A013872,S030539,C046181,197,35,79,2024-10-22
A013873,S011997,C019571,207,42,48,2024-09-23
A013874,S022628,C044890,69,61,76,2024-07-27
A013875,S048155,C029388,249,84,53,2024-12-13
A013876,S013565,C011504,85,54,37,2024-12-08
A013877,S036590,C044161,81,68,3,2024-12-21
A013878,S003562,C019992,219,46,21,2024-11-04
A013879,S001162,C030071,234,5,78,2024-12-17
A013880,S039993,C039117,140,77,33,2024-12-18
A013881,S011717,C014730,268,49,31,2024-12-03
A013882,S033541,C002944,269,98,42,2024-11-27
A013883,S022227,C035917,159,19,81,2024-12-27
A013884,S016432,C023154,78,94,98,2023-04-13
A013885,S040117,C003338,30,60,10,2024-12-21
A013886,S023834,C036079,91,48,73,2024-12-09
A013887,S036113,C009070,28,63,37,2024-10-20
A013888,S010356,C013280,261,32,31,2024-07-28
A013889,S014315,C004187,215,62,81,2024-09-07
A013890,S047696,C005526,37,60,55,2024-06-30
A013891,S039604,C004712,260,74,82,2024-12-07
A013892,S029996,C019668,86,96,78,2024-11-07
A013893,S043692,C048220,140,56,49,2024-12-05
A013894,S008489,C008642,241,60,86,2024-10-15
A013895,S003500,C011166,111,50,36,2023-06-09
A013896,S006467,C001511,277,45,8,2024-12-10
A013897,S044223,C003597,273,96,72,2024-12-20
A013898,S015801,C000007,152,63,89,2023-05-18
A013899,S011885,C038894,5,69,87,2024-12-23
A013900,S006507,C010228,195,32,25,2024-12-24
A013901,S031028,C041779,105,32,28,2024-12-01
A013902,S017065,C039490,11,54,62,2024-11-27
A013903,S034958,C020908,53,4,21,2024-09-23
A013904,S047433,C004980,265,46,38,2024-10-12
A013905,S025474,C018495,7,19,100,2024-12-11
A013906,S048590,C011061,28,63,20,2024-12-26
A013907,S035958,C044028,119,28,41,2024-09-25
A013908,S023147,C045892,279,59,28,2024-03-16
A013909,S031213,C018986,76,72,77,2024-07-04
A013910,S047276,C009642,298,6,33,2023-12-15
A013911,S040881,C018289,264,55,19,2024-12-21
A013912,S013334,C005053,282,63,20,2024-12-07
A013913,S023729,C048795,287,77,21,2024-12-22
A013914,S047197,C030484,183,86,40,2024-11-11
A013915,S044797,C009980,213,93,18,2024-12-26
A013916,S020592,C023510,247,7,62,2024-12-30
A013917,S036723,C034618,195,71,7,2024-01-07
A013918,S003148,C006291,238,28,34,2024-12-25
A013919,S004334,C012453,4,23,68,2024-12-25
A013920,S001364,C036262,63,27,30,2024-12-19
A013921,S020921,C001434,270,44,71,2024-05-09
A013922,S006799,C019258,159,21,74,2024-12-19
A013923,S035228,C043444,233,7,20,2022-10-30
A013924,S041840,C032094,103,13,69,2024-05-27
A013925,S032322,C010351,296,79,90,2024-09-01
A013926,S032777,C041301,93,74,76,2024-10-09
A013927,S011028,C032741,0,94,15,2024-12-30
A013928,S019481,C023433,68,84,64,2024-12-03
A013929,S027571,C013514,279,73,48,2024-11-04
A013930,S022690,C017934,20,92,9,2024-12-21
A013931,S043383,C000606,235,5,33,2024-11-10
A013932,S005555,C023829,245,89,33,2023-08-06
A013933,S027624,C011374,76,4,35,2024-06-05
A013934,S020268,C036029,166,2,14,2024-08-04
A013935,S028454,C012649,235,100,19,2024-12-14
A013936,S000082,C032968,290,83,48,2024-04-02
A013937,S039671,C020717,129,94,5,2024-12-19
A013938,S032201,C031976,273,42,5,2024-05-28
A013939,S006027,C042714,265,53,23,2024-04-09
A013940,S001887,C018356,10,35,19,2024-11-09
A013941,S001900,C021871,54,33,55,2024-12-13
A013942,S020795,C017920,6,4,75,2024-12-05
A013943,S033876,C046844,207,42,15,2024-09-20
A013944,S033571,C045046,1,97,21,2024-11-09
A013945,S039090,C034276,256,57,41,2023-10-08
A013946,S049642,C016803,132,60,82,2024-12-27
A013947,S045531,C010701,250,32,59,2024-09-30
A013948,S023721,C042435,165,90,53,2024-09-24
A013949,S000507,C028673,255,24,65,2024-12-22
A013950,S027755,C028320,1,37,90,2023-08-31
A013951,S032583,C041530,30,48,36,2024-07-05
A013952,S008339,C035904,108,75,87,2024-12-22
A013953,S032353,C049630,263,24,41,2024-10-13
A013954,S026704,C014712,9,50,16,2024-12-30
A013955,S034411,C024873,15,72,96,2024-09-01
A013956,S012415,C047241,242,83,54,2024-10-12
A013957,S032918,C023818,17,1,79,2024-12-01
A013958,S041896,C010311,91,70,34,2024-12-11
A013959,S003070,C040802,239,84,47,2024-12-15
A013960,S037965,C030086,194,88,100,2024-11-04
A013961,S036442,C011903,158,8,23,2024-12-11
A013962,S029251,C032751,61,10,22,2024-12-18
A013963,S031372,C037868,268,86,74,2024-10-29
A013964,S043168,C000303,256,35,12,2024-10-24
A013965,S022062,C027217,275,81,98,2024-12-24
A013966,S031782,C038581,284,20,35,2024-12-08
A013967,S012061,C033693,169,69,10,2024-11-21
A013968,S028076,C006323,110,41,5,2024-05-21
A013969,S044136,C047917,34,88,72,2024-08-22
A013970,S029423,C017439,41,20,17,2024-12-20
A013971,S030845,C019836,246,52,89,2024-12-25
A013972,S012656,C020995,13,76,63,2024-12-07
A013973,S029166,C000013,105,64,66,2024-12-28
A013974,S049514,C031020,134,98,7,2024-11-25
A013975,S025598,C041370,132,28,88,2024-12-28
A013976,S046708,C012457,86,42,26,2024-09-14
A013977,S017419,C039389,278,57,38,2024-11-16
A013978,S008128,C047473,99,42,50,2024-12-21
A013979,S035830,C038175,159,26,16,2024-07-14
A013980,S037379,C042752,122,38,8,2024-10-16
A013981,S009071,C044200,118,53,70,2024-12-03
A013982,S003237,C032765,174,60,70,2024-06-16
A013983,S005271,C037815,165,40,65,2024-12-25
A013984,S001404,C015452,187,38,22,2024-08-31
A013985,S031475,C018561,165,95,84,2024-09-14
A013986,S018302,C013170,128,76,90,2024-12-18
A013987,S026819,C001017,40,26,37,2024-12-05
A013988,S021208,C037879,274,30,72,2024-11-09
A013989,S030957,C038673,79,66,37,2024-10-05
A013990,S001900,C021192,143,41,3,2024-12-24
A013991,S032525,C001361,242,52,17,2024-11-30
A013992,S022756,C037469,136,52,21,2024-12-11
A013993,S026461,C005088,182,84,73,2024-11-15
A013994,S042563,C014062,279,42,45,2024-12-29
A013995,S012201,C017619,83,90,56,2024-07-10
A013996,S010575,C040472,8,56,47,2024-11-19
A013997,S014635,C029116,147,99,69,2024-12-21
A013998,S015514,C007831,25,61,90,2024-07-31
A013999,S047100,C048289,153,10,86,2023-07-21
A014000,S011239,C023504,272,52,96,2024-11-22
A014001,S043536,C032944,265,74,12,2024-04-21
A014002,S009439,C000799,13,14,22,2024-03-17
A014003,S034224,C038248,197,23,100,2024-12-20
A014004,S013306,C010999,162,99,27,2024-09-13
A014005,S043461,C024872,220,11,27,2024-12-26
A014006,S039881,C020988,236,14,12,2024-10-10
A014007,S002265,C008031,219,25,95,2024-12-08
A014008,S008182,C017300,158,46,29,2024-05-05
A014009,S022020,C046130,105,87,11,2024-12-27
A014010,S027078,C020614,125,18,85,2024-09-01
A014011,S025066,C043148,76,19,67,2024-06-15
A014012,S035173,C036770,210,58,51,2024-12-22
A014013,S023096,C022117,175,93,88,2024-12-25
A014014,S017897,C033238,147,89,80,2024-12-23
A014015,S007623,C024604,58,86,3,2024-12-21
A014016,S046556,C027553,99,66,25,2024-12-26
A014017,S024513,C028382,38,45,41,2024-11-12
A014018,S001294,C031932,218,22,24,2024-06-22
A014019,S001399,C025845,71,1,54,2024-11-09
A014020,S023084,C019488,177,90,47,2024-12-30
A014021,S019255,C002640,73,80,3,2024-04-04
A014022,S002541,C033871,201,83,100,2024-07-13
A014023,S043251,C015224,2,25,62,2023-12-09
A014024,S025591,C042830,123,68,87,2024-12-21
A014025,S007171,C002924,227,98,86,2024-09-03
A014026,S046575,C030186,52,62,68,2024-12-26
A014027,S009881,C017817,224,83,75,2024-04-29
A014028,S042214,C042250,186,29,12,2024-12-29
A014029,S020784,C048471,286,37,91,2024-07-23
A014030,S043385,C043810,149,48,97,2024-11-04
A014031,S027916,C019366,32,15,64,2024-12-29
A014032,S034387,C017633,160,23,80,2024-12-12
A014033,S043752,C006372,130,82,92,2024-12-02
A014034,S019628,C028322,120,87,74,2024-11-26
A014035,S017490,C026883,78,46,78,2022-11-12
A014036,S014214,C026645,110,67,23,2024-07-30
A014037,S001446,C046617,1,17,95,2024-12-23
A014038,S006929,C035169,259,93,99,2024-11-12
A014039,S009960,C041843,11,52,11,2024-12-27
A014040,S023067,C048041,66,79,83,2024-12-13
A014041,S017677,C005407,165,12,41,2024-12-30
A014042,S042088,C019282,259,77,33,2024-11-15
A014043,S025597,C049934,215,60,0,2024-12-30
A014044,S027210,C023684,69,31,16,2024-09-02
A014045,S012331,C037173,79,13,63,2024-10-25
A014046,S039854,C021105,262,91,68,2024-06-08
A014047,S017289,C042183,110,48,89,2024-05-06
A014048,S007912,C037230,147,24,99,2024-10-07
A014049,S039618,C024572,165,84,7,2024-09-04
A014050,S002152,C006840,68,44,66,2024-12-10
A014051,S012024,C018235,17,33,22,2024-12-29
A014052,S021350,C029300,113,20,7,2024-07-12
A014053,S025599,C011851,119,56,49,2024-01-04
A014054,S042974,C009889,123,85,25,2024-01-23
